iter	Passed	Remaining
184	1869	8233
185	1877	8218
186	1890	8221
187	1900	8208
188	1908	8191
189	1919	8183
190	1928	8167
191	1939	8160
192	1950	8154
193	1958	8137
194	1968	8127
195	1979	8119
196	1991	8119
197	2001	8105
198	2010	8092
199	2020	8083
200	2030	8072
201	2039	8055
202	2049	8048
203	2058	8032
204	2067	8017
205	2077	8006
206	2084	7986
207	2094	7973
208	2104	7964
209	2114	7954
210	2123	7941
211	2132	7925
212	2144	7922
213	2152	7907
214	2164	7902
215	2173	7889
216	2183	7877
217	2195	7877
218	2205	7866
219	2214	7851
220	2224	7839
221	2234	7829
222	2244	7819
223	2253	7807
224	2263	7797
225	2276	7794
226	2286	7786
227	2297	7778
228	2306	7765
229	2315	7750
230	2324	7739
231	2333	7723
232	2347	7727
233	2356	7714
234	2364	7698
235	2374	7686
236	2385	7679
237	2395	7669
238	2406	7660
239	2415	7650
240	2425	7638
241	2436	7631
242	2444	7615
243	2454	7606
244	2465	7598
245	2474	7584
246	2484	7574
247	2494	7562
248	2506	7559
249	2515	7547
250	2523	7530
251	2533	7519
252	2542	7507
253	2552	7497
254	2563	7490
255	2574	7480
256	2584	7471
257	2593	7458
258	2603	7448
259	2612	7436
260	2620	7419
261	2629	7407
262	2637	7391
263	2647	7379
264	2655	7365
265	2665	7354
266	2673	7340
267	2682	7327
268	2693	7318
269	2703	7310
270	2714	7303
271	2726	7296
272	2735	7285
273	2746	7276
274	2754	7262
275	2763	7250
276	2773	7238
277	2782	7227
278	2793	7219
279	2802	7205
280	2812	7197
281	2822	7185
282	2830	7171
283	2843	7169
284	2852	7155
285	2860	7142
286	2870	7130
287	2878	7115
288	2887	7104
289	2895	7090
290	2906	7082
291	2916	7071
292	2926	7062
293	2938	7055
294	2947	7043
295	2956	7032
296	2967	7024
297	2978	7015
298	2988	7006
299	2997	6994
300	3006	6981
301	3015	6969
302	3023	6954
303	3032	6943
304	3043	6935
305	3053	6925
306	3062	6913
307	3071	6900
308	3080	6889
309	3089	6875
310	3098	6864
311	3108	6855
312	3118	6843
313	3127	6831
314	3138	6823
315	3146	6811
316	3156	6801
317	3166	6790
318	3175	6778
319	3184	6767
320	3193	6755
321	3201	6741
322	3210	6728
323	3219	6717
324	3231	6710
325	3240	6699
326	3248	6685
327	3260	6680
328	3268	6665
329	3278	6656
330	3286	6642
331	3295	6630
332	3303	6617
333	3312	6605
334	3321	6594
335	3333	6587
336	3343	6578
337	3352	6567
338	3361	6555
339	3371	6544
340	3380	6533
341	3391	6524
342	3400	6513
343	3409	6501
344	3417	6487
345	3428	6480
346	3438	6470
347	3448	6460
348	3459	6452
349	3469	6443
350	3478	6431
351	3487	6420
352	3495	6407
353	3504	6394
354	3513	6384
355	3526	6380
356	3537	6371
357	3546	6359
358	3556	6350
359	3566	6340
360	3574	6327
361	3583	6316
362	3593	6305
363	3601	6293
364	3609	6280
365	3621	6273
366	3631	6263
367	3639	6249
368	3649	6241
369	3659	6231
370	3673	6228
371	3682	6217
372	3692	6206
373	3701	6194
374	3712	6187
375	3720	6174
376	3729	6163
377	3737	6149
378	3748	6142
379	3761	6136
380	3771	6127
381	3781	6117
382	3790	6105
383	3800	6097
384	3811	6088
385	3820	6077
386	3830	6067
387	3839	6056
388	3848	6044
389	3860	6038
390	3870	6027
391	3881	6019
392	3891	6010
393	3899	5998
394	3910	5990
395	3919	5977
396	3929	5968
397	3944	5966
398	3956	5959
399	3965	5947
400	3975	5938
401	3984	5927
402	3994	5917
403	4004	5907
404	4013	5895
405	4023	5886
406	4031	5874
407	4041	5864
408	4051	5853
409	4061	5844
410	4071	5835
411	4082	5826
412	4093	5818
413	4102	5807
414	4110	5794
415	4121	5786
416	4132	5777
417	4140	5764
418	4150	5754
419	4158	5742
420	4166	5730
421	4177	5721
422	4188	5713
423	4198	5703
424	4206	5691
425	4217	5682
426	4226	5671
427	4235	5661
428	4246	5652
429	4254	5639
430	4263	5628
431	4271	5615
432	4282	5607
433	4294	5600
434	4302	5587
435	4313	5580
436	4325	5572
437	4335	5562
438	4346	5554
439	4358	5547
440	4367	5535
441	4375	5523
442	4384	5512
443	4395	5503
444	4407	5496
445	4414	5484
446	4424	5474
447	4432	5461
448	4443	5453
449	4451	5441
450	4461	5431
451	4470	5420
452	4478	5408
453	4489	5399
454	4502	5392
455	4512	5383
456	4522	5373
457	4531	5362
458	4541	5352
459	4552	5344
460	4560	5332
461	4569	5321
462	4580	5312
463	4591	5303
464	4600	5292
465	4612	5285
466	4624	5277
467	4636	5270
468	4644	5258
469	4655	5249
470	4665	5239
471	4673	5227
472	4682	5216
473	4692	5207
474	4702	5197
475	4710	5185
476	4723	5179
477	4735	5171
478	4743	5159
479	4752	5148
480	4764	5140
481	4773	5130
482	4783	5120
483	4792	5108
484	4800	5097
485	4809	5086
486	4821	5078
487	4830	5068
488	4839	5056
489	4848	5046
490	4856	5034
491	4865	5023
492	4873	5011
493	4882	5001
494	4893	4991
495	4903	4982
496	4915	4974
497	4923	4962
498	4932	4952
499	4941	4941
500	4950	4930
501	4958	4919
502	4967	4908
503	4977	4898
504	4985	4886
505	4994	4876
506	5002	4864
507	5012	4855
508	5021	4843
509	5035	4837
510	5045	4827
511	5053	4816
512	5062	4805
513	5072	4796
514	5080	4784
515	5090	4774
516	5100	4764
517	5109	4754
518	5120	4745
519	5131	4737
520	5141	4726
521	5152	4718
522	5161	4707
523	5174	4700
524	5184	4690
525	5192	4679
526	5201	4668
527	5210	4657
528	5219	4647
529	5228	4636
530	5237	4625
531	5246	4615
532	5255	4604
533	5263	4593
534	5274	4584
535	5283	4573
536	5291	4562
537	5300	4551
538	5315	4546
539	5326	4537
540	5338	4529
541	5348	4519
542	5356	4508
543	5367	4498
544	5375	4487
545	5385	4477
546	5394	4467
547	5404	4457
548	5413	4447
549	5421	4435
550	5431	4425
551	5442	4417
552	5452	4407
553	5462	4397
554	5470	4386
555	5480	4376
556	5489	4365
557	5499	4355
558	5507	4345
559	5518	4335
560	5528	4326
561	5536	4315
562	5547	4305
563	5556	4295
564	5565	4285
565	5576	4276
566	5587	4267
567	5596	4256
568	5605	4245
569	5614	4235
570	5625	4226
571	5635	4216
572	5647	4208
573	5657	4198
574	5666	4188
575	5675	4177
576	5683	4166
577	5693	4156
578	5702	4146
579	5714	4137
580	5726	4129
581	5734	4118
582	5743	4108
583	5751	4097
584	5762	4087
585	5771	4077
586	5779	4066
587	5790	4057
588	5798	4046
589	5807	4035
590	5815	4024
591	5825	4014
592	5835	4005
593	5844	3994
594	5854	3985
595	5868	3977
596	5877	3967
597	5886	3957
598	5896	3947
599	5905	3936
600	5914	3926
601	5922	3915
602	5933	3906
603	5940	3895
604	5952	3886
605	5963	3877
606	5973	3867
607	5983	3857
608	5991	3846
609	6003	3838
610	6012	3828
611	6022	3818
612	6031	3807
613	6039	3796
614	6050	3787
615	6061	3778
616	6072	3769
617	6081	3759
618	6090	3748
619	6099	3738
620	6108	3728
621	6117	3717
622	6125	3706
623	6138	3698
624	6147	3688
625	6156	3678
626	6166	3668
627	6175	3658
628	6185	3648
629	6196	3639
630	6205	3628
631	6213	3617
632	6222	3607
633	6229	3596
634	6239	3586
635	6248	3576
636	6257	3565
637	6266	3555
638	6280	3547
639	6289	3537
640	6299	3527
641	6308	3517
642	6316	3507
643	6325	3496
644	6334	3486
645	6343	3475
646	6352	3465
647	6362	3456
648	6374	3447
649	6383	3437
650	6395	3428
651	6406	3419
652	6416	3409
653	6424	3398
654	6433	3388
655	6442	3378
656	6453	3369
657	6462	3358
658	6473	3349
659	6483	3340
660	6491	3329
661	6503	3320
662	6512	3310
663	6521	3300
664	6531	3290
665	6540	3280
666	6552	3271
667	6560	3260
668	6570	3250
669	6579	3240
670	6588	3230
671	6598	3220
672	6608	3210
673	6619	3201
674	6630	3192
675	6639	3182
676	6649	3172
677	6657	3161
678	6666	3151
679	6678	3142
680	6687	3132
681	6699	3123
682	6710	3114
683	6721	3105
684	6730	3094
685	6740	3085
686	6748	3074
687	6759	3065
688	6767	3054
689	6777	3044
690	6785	3034
691	6794	3024
692	6803	3014
693	6820	3007
694	6829	2997
695	6838	2987
696	6848	2976
697	6857	2966
698	6866	2956
699	6878	2947
700	6887	2937
701	6897	2927
702	6905	2917
703	6915	2907
704	6927	2898
705	6936	2888
706	6944	2878
707	6957	2869
708	6965	2858
709	6975	2849
710	6986	2839
711	6996	2830
712	7006	2820
713	7014	2809
714	7026	2800
715	7035	2790
716	7044	2780
717	7054	2770
718	7062	2760
719	7072	2750
720	7080	2739
721	7095	2732
722	7106	2722
723	7116	2712
724	7128	2703
725	7140	2694
726	7149	2684
727	7157	2674
728	7169	2665
729	7177	2654
730	7187	2644
731	7197	2635
732	7205	2624
733	7215	2615
734	7229	2606
735	7238	2596
736	7248	2586
737	7259	2577
738	7268	2567
739	7277	2557
740	7288	2547
741	7298	2537
742	7308	2528
743	7318	2518
744	7332	2509
745	7342	2500
746	7350	2489
747	7363	2480
748	7373	2471
749	7381	2460
750	7392	2451
751	7402	2441
752	7414	2432
753	7425	2422
754	7516	2439
755	7567	2442
756	7608	2442
757	7619	2432
758	7632	2423
759	7643	2413
760	7655	2404
761	7664	2394
762	7679	2385
763	7690	2375
764	7703	2366
765	7713	2356
766	7728	2347
767	7740	2338
768	7752	2328
769	7762	2318
770	7777	2309
771	7788	2300
772	7799	2290
773	7809	2280
774	7826	2272
775	7837	2262
776	7849	2252
777	7858	2242
778	7871	2233
779	7881	2223
780	7890	2212
781	7902	2203
782	7917	2194
783	7926	2183
784	7939	2174
785	7953	2165
786	7970	2157
787	7982	2147
788	7993	2137
789	8003	2127
790	8015	2117
791	8025	2107
792	8038	2098
793	8050	2088
794	8061	2078
795	8070	2068
796	8085	2059
797	8098	2049
798	8113	2041
799	8125	2031
800	8136	2021
801	8148	2011
802	8160	2001
803	8170	1991
804	8181	1981
805	8192	1971
806	8201	1961
807	8213	1951
808	8225	1942
809	8234	1931
810	8250	1922
811	8265	1913
812	8276	1903
813	8289	1894
814	8300	1884
815	8311	1874
816	8323	1864
817	8335	1854
818	8348	1845
819	8368	1836
820	8381	1827
821	8401	1819
822	8413	1809
823	8427	1800
824	8440	1790
825	8451	1780
826	8464	1770
827	8473	1760
828	8482	1749
829	8491	1739
830	8503	1729
831	8515	1719
832	8525	1709
833	8539	1699
834	8550	1689
835	8561	1679
836	8574	1669
837	8587	1660
838	8599	1650
839	8609	1639
840	8620	1629
841	8631	1619
842	8642	1609
843	8653	1599
844	8662	1588
845	8674	1578
846	8686	1569
847	8695	1558
848	8704	1548
849	8714	1537
850	8722	1527
851	8733	1517
852	8742	1506
853	8751	1496
854	8760	1485
855	8772	1475
856	8783	1465
857	8796	1455
858	8804	1445
859	8817	1435
860	8830	1425
861	8838	1414
862	8849	1404
863	8861	1394
864	8871	1384
865	8884	1374
866	8894	1364
867	8905	1354
868	8913	1343
869	8924	1333
870	8933	1323
871	8943	1312
872	8956	1303
873	8965	1292
874	8975	1282
875	8984	1271
876	8994	1261
877	9003	1251
878	9014	1240
879	9025	1230
880	9033	1220
881	9043	1209
882	9053	1199
883	9061	1189
884	9073	1179
885	9083	1168
886	9093	1158
887	9105	1148
888	9114	1138
889	9124	1127
890	9135	1117
891	9146	1107
892	9157	1097
893	9166	1086
894	9174	1076
895	9184	1066
896	9194	1055
897	9203	1045
898	9216	1035
899	9224	1024
900	9235	1014
901	9247	1004
902	9258	994
903	9269	984
904	9282	974
905	9294	964
906	9305	954
907	9314	943
908	9322	933
909	9333	923
910	9342	912
911	9351	902
912	9361	892
913	9371	881
914	9384	871
915	9394	861
916	9407	851
917	9417	841
918	9429	831
919	9437	820
920	9448	810
921	9459	800
922	9469	789
923	9479	779
924	9487	769
925	9498	759
926	9508	748
927	9518	738
928	9530	728
929	9540	718
930	9548	707
931	9558	697
932	9566	687
933	9576	676
934	9586	666
935	9597	656
936	9607	645
937	9615	635
938	9625	625
939	9636	615
940	9646	604
941	9655	594
942	9668	584
943	9678	574
944	9687	563
945	9696	553
946	9707	543
947	9718	533
948	9727	522
949	9737	512
950	9745	502
951	9757	491
952	9770	481
953	9780	471
954	9788	461
955	9800	451
956	9814	441
957	9823	430
958	9834	420
959	9842	410
960	9852	399
961	9862	389
962	9872	379
963	9882	369
964	9890	358
965	9900	348
966	9911	338
967	9921	327
968	9931	317
969	9941	307
970	9950	297
971	9963	287
972	9971	276
973	9980	266
974	9989	256
975	10000	245
976	10010	235
977	10020	225
978	10030	215
979	10040	204
980	10050	194
981	10062	184
982	10162	175
983	10193	165
984	10201	155
985	10212	145
986	10221	134
987	10232	124
988	10244	113
989	10255	103
990	10264	93
991	10276	82
992	10285	72
993	10294	62
994	10307	51
995	10318	41
996	10328	31
997	10339	20
998	10349	10
999	10359	0
