iter	Logloss
431	0.6457904968
432	0.6457725067
433	0.6457581533
434	0.6457411753
435	0.6457217458
436	0.6457014821
437	0.6456877696
438	0.6456682688
439	0.6456502584
440	0.645638972
441	0.6456203206
442	0.6456073964
443	0.6455975545
444	0.6455772552
445	0.6455668538
446	0.6455439046
447	0.6455320384
448	0.645514384
449	0.6454987132
450	0.6454846598
451	0.6454673665
452	0.6454525909
453	0.6454287974
454	0.6454099782
455	0.6453851369
456	0.6453614655
457	0.6453410899
458	0.6453201192
459	0.6453036753
460	0.6452897441
461	0.6452812297
462	0.6452703145
463	0.6452571716
464	0.6452474365
465	0.6452269236
466	0.6452111766
467	0.6451973979
468	0.6451839854
469	0.6451740316
470	0.6451603648
471	0.6451467997
472	0.6451362966
473	0.6451217346
474	0.6451076253
475	0.6450932109
476	0.6450730133
477	0.6450528971
478	0.6450285848
479	0.6450144196
480	0.6450004171
481	0.6449838918
482	0.6449645538
483	0.6449489085
484	0.6449355367
485	0.6449139964
486	0.6448994548
487	0.6448833415
488	0.6448676147
489	0.6448557892
490	0.6448429464
491	0.6448253326
492	0.6448155924
493	0.6448059692
494	0.6447906799
495	0.6447789205
496	0.6447643229
497	0.6447520243
498	0.6447369334
499	0.6447224731
500	0.6447079976
501	0.6446951294
502	0.6446786753
503	0.6446631317
504	0.6446536865
505	0.644640213
506	0.6446240387
507	0.6446104635
508	0.6446006724
509	0.6445894928
510	0.6445704447
511	0.6445553233
512	0.6445434723
513	0.6445275981
514	0.6445163574
515	0.6444900309
516	0.6444772339
517	0.6444643351
518	0.6444475352
519	0.6444347534
520	0.6444129791
521	0.6443978577
522	0.6443901978
523	0.6443761749
524	0.6443607585
525	0.6443444468
526	0.6443332367
527	0.6443194377
528	0.6443064982
529	0.644292923
530	0.6442815755
531	0.6442689514
532	0.6442532654
533	0.644237737
534	0.6442254232
535	0.6442105713
536	0.644197464
537	0.6441883443
538	0.6441714986
539	0.6441576487
540	0.6441369273
541	0.644123174
542	0.6441083221
543	0.6440941366
544	0.644082784
545	0.6440678355
546	0.6440530802
547	0.6440375875
548	0.6440274404
549	0.644015742
550	0.6440001068
551	0.6439855754
552	0.6439756114
553	0.6439675496
554	0.6439499054
555	0.643936849
556	0.643920166
557	0.6439032288
558	0.64389092
559	0.6438833262
560	0.6438712362
561	0.643861323
562	0.6438465271
563	0.6438260498
564	0.6438091075
565	0.6437962901
566	0.6437890879
567	0.6437774099
568	0.6437671305
569	0.643758489
570	0.643744517
571	0.6437266947
572	0.6437084859
573	0.643698878
574	0.6436811879
575	0.6436695455
576	0.6436578166
577	0.6436439768
578	0.6436300405
579	0.6436162974
580	0.6436008962
581	0.6435893911
582	0.6435764821
583	0.643561849
584	0.6435475972
585	0.6435362549
586	0.6435231222
587	0.6435078888
588	0.6434959157
589	0.6434848328
590	0.6434743703
591	0.6434550629
592	0.6434376933
593	0.643426061
594	0.6434116669
595	0.6433995921
596	0.6433857269
597	0.6433692118
598	0.6433597005
599	0.6433464508
600	0.643336909
601	0.6433275655
602	0.6433165944
603	0.6433025258
604	0.6432853648
605	0.6432731934
606	0.643262207
607	0.643249293
608	0.6432329966
609	0.6432158559
610	0.6432034658
611	0.6431915843
612	0.6431750641
613	0.6431574351
614	0.6431423696
615	0.6431271973
616	0.6431064555
617	0.6430958811
618	0.6430871379
619	0.6430731303
620	0.643059672
621	0.6430482025
622	0.6430380554
623	0.6430264994
624	0.6430145976
625	0.6430029399
626	0.6429947154
627	0.6429855296
628	0.6429748383
629	0.6429571737
630	0.6429392853
631	0.642927831
632	0.6429176636
633	0.6429094493
634	0.642892985
635	0.6428846741
636	0.6428701019
637	0.6428579407
638	0.6428480174
639	0.6428284607
640	0.6428159027
641	0.642804601
642	0.6427926636
643	0.6427840678
644	0.6427714335
645	0.6427595011
646	0.6427479146
647	0.6427388916
648	0.64272553
649	0.6427128194
650	0.6426968333
651	0.6426738688
652	0.6426596985
653	0.6426427358
654	0.6426298218
655	0.6426149089
656	0.6426058044
657	0.6425902252
658	0.6425793203
659	0.6425687917
660	0.6425611979
661	0.6425490926
662	0.6425361176
663	0.6425233816
664	0.6425127767
665	0.6424969126
666	0.642482722
667	0.6424677887
668	0.6424546102
669	0.6424445038
670	0.6424296773
671	0.6424147186
672	0.6424014893
673	0.6423859202
674	0.6423760732
675	0.6423658396
676	0.6423477173
677	0.6423393046
678	0.642328064
679	0.6423136037
680	0.6423032125
681	0.6422919464
682	0.6422807821
683	0.6422589722
684	0.6422478027
685	0.6422283071
686	0.6422114817
687	0.6421943766
688	0.6421829936
689	0.6421725515
690	0.6421572978
691	0.6421459859
692	0.6421358083
693	0.6421221975
694	0.6421092784
695	0.6420930023
696	0.642079951
697	0.6420709432
698	0.6420493368
699	0.6420365092
700	0.6420218252
701	0.6420105845
702	0.6420005086
703	0.6419891408
704	0.6419803975
705	0.641965917
706	0.6419557699
707	0.6419430695
708	0.6419252421
709	0.6419130249
710	0.6418980815
711	0.6418802032
712	0.6418650716
713	0.6418530884
714	0.6418428955
715	0.6418284454
716	0.6418202006
717	0.6418092702
718	0.6417962545
719	0.6417851766
720	0.6417689362
721	0.6417586924
722	0.6417409261
723	0.64173025
724	0.641716746
725	0.6417061208
726	0.6416980998
727	0.6416889903
728	0.6416785431
729	0.6416674754
730	0.6416556244
731	0.6416417796
732	0.6416279653
733	0.6416146291
734	0.6416057332
735	0.6415951385
736	0.6415884603
737	0.6415796051
738	0.6415642141
739	0.6415533244
740	0.6415427144
741	0.6415278829
742	0.6415167999
743	0.641502416
744	0.64149381
745	0.6414854431
746	0.6414775645
747	0.6414643911
748	0.6414515381
749	0.6414409129
750	0.6414333903
751	0.6414240112
752	0.6414156189
753	0.6414067993
754	0.6413929342
755	0.6413833771
756	0.6413722076
757	0.641360733
758	0.6413490143
759	0.6413362885
760	0.6413243764
761	0.6413144684
762	0.6412987823
763	0.6412856496
764	0.6412725983
765	0.6412599742
766	0.6412484385
767	0.6412372538
768	0.6412295787
769	0.6412227071
770	0.6412082469
771	0.6411898651
772	0.6411663055
773	0.6411567993
774	0.6411483002
775	0.641136673
776	0.6411228027
777	0.6411113281
778	0.6410930074
779	0.6410804952
780	0.6410716197
781	0.6410609792
782	0.6410441335
783	0.6410334371
784	0.6410250244
785	0.641007548
786	0.6409975535
787	0.6409832662
788	0.6409696401
789	0.6409581401
790	0.6409423828
791	0.6409335327
792	0.6409200897
793	0.6409081675
794	0.6408975474
795	0.6408896637
796	0.6408740489
797	0.6408580373
798	0.6408449707
799	0.640825592
800	0.6408120728
801	0.6408031464
802	0.6407867228
803	0.6407754364
804	0.6407646332
805	0.640749939
806	0.640740153
807	0.6407335256
808	0.6407254995
809	0.6407165629
810	0.6406960704
811	0.6406875305
812	0.6406791941
813	0.64066185
814	0.6406415507
815	0.6406223857
816	0.6406150869
817	0.6405957794
818	0.6405837046
819	0.6405701752
820	0.6405627187
821	0.6405560048
822	0.6405448354
823	0.6405323944
824	0.6405198415
825	0.6405034332
826	0.6404931132
827	0.6404800059
828	0.6404697164
829	0.640456955
830	0.6404456126
831	0.6404332886
832	0.64041804
833	0.640408783
834	0.6404028524
835	0.6403942668
836	0.6403813985
837	0.6403669434
838	0.6403516795
839	0.6403418528
840	0.6403281148
841	0.640317393
842	0.6403041636
843	0.6402917328
844	0.6402776998
845	0.6402655589
846	0.6402512716
847	0.640239151
848	0.6402205353
849	0.6402009379
850	0.6401897481
851	0.6401789551
852	0.640172404
853	0.6401605632
854	0.6401505585
855	0.6401367086
856	0.6401267039
857	0.6401121063
858	0.640096578
859	0.6400879924
860	0.6400707957
861	0.6400634155
862	0.6400568848
863	0.6400434469
864	0.6400228831
865	0.6400135956
866	0.6400021871
867	0.6399896444
868	0.6399777069
869	0.6399632772
870	0.6399532725
871	0.6399390055
872	0.6399281362
873	0.6399117737
874	0.6398968353
875	0.6398879242
876	0.6398757222
877	0.6398663686
878	0.639852656
879	0.6398434703
880	0.6398350983
881	0.6398200887
882	0.6397988332
883	0.6397908936
884	0.6397768097
885	0.6397620087
886	0.6397515666
887	0.6397363586
888	0.6397212474
889	0.6397097575
890	0.6396945089
891	0.6396784719
892	0.6396610311
893	0.6396463877
894	0.6396295115
895	0.6396170858
896	0.6396009674
897	0.6395889079
898	0.6395739492
899	0.6395562948
900	0.6395473938
901	0.6395387166
902	0.6395229187
903	0.6395060476
904	0.6394883372
905	0.6394706573
906	0.6394468028
907	0.6394328918
908	0.6394201914
909	0.639407491
910	0.6393944448
911	0.6393782552
912	0.639369573
913	0.6393600871
914	0.6393438568
915	0.6393265839
916	0.6393143209
917	0.6393058217
918	0.6392926432
919	0.6392798818
920	0.6392599996
921	0.6392470703
922	0.6392332204
923	0.6392212118
924	0.6392122752
925	0.6392012227
926	0.6391819153
927	0.6391702271
928	0.6391555532
929	0.6391413066
930	0.6391301676
931	0.6391161652
932	0.6390999654
933	0.6390836334
934	0.6390722809
935	0.6390621643
936	0.639050705
937	0.6390386251
938	0.6390280558
939	0.6390067749
940	0.6389931742
941	0.6389792074
942	0.6389684347
943	0.638952006
944	0.6389411621
945	0.6389264832
946	0.6389095459
947	0.6388995514
948	0.638883784
949	0.6388699748
950	0.6388589172
951	0.6388457642
952	0.6388349355
953	0.6388206278
954	0.6388016968
955	0.6387905273
956	0.6387807821
957	0.6387697652
958	0.6387540232
959	0.6387407837
960	0.6387333883
961	0.6387206624
962	0.6387105662
963	0.638701767
964	0.6386884766
965	0.6386797282
966	0.6386599579
967	0.6386475576
968	0.6386359151
969	0.6386203359
970	0.6386098684
971	0.6385975342
972	0.6385861053
973	0.6385725861
974	0.6385607758
975	0.6385466309
976	0.6385387421
977	0.6385247955
978	0.6385155792
979	0.6384938202
980	0.6384854838
981	0.6384749298
982	0.6384653422
983	0.6384513906
984	0.6384365641
985	0.6384227142
986	0.638408961
987	0.6383909454
988	0.6383779907
989	0.63836144
990	0.6383503418
991	0.6383341624
992	0.6383149567
993	0.6383020935
994	0.6382891083
995	0.6382733256
996	0.6382536316
997	0.6382303772
998	0.6382086741
999	0.6381969401
